References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
Qu&Bregman2022,NGC 3109,150.78,-26.16,393.7,ESO 499-G 041,151.481,-23.0568,71.3,1.1,4.3,nan,nan,1.29,0.02,D09,8.25,0.06,Dale09+d_ref,10.88,0.03,M21,10.73,0.03,M21,8.64,0.04,BdB01+d_ref,=,-1.75,0.08,"FUV, Lee11",132.3,3.1,79.6,1.9,,nan,nan,,nan,nan,<=(1sig),17.8,nan,<=(1sig),12.022878745280337,nan,<=(1sig),30.3,nan,<=(1sig),12.122878745280337,nan,<=(1sig),27.3,nan,<=(1sig),12.522878745280337,nan,<=(1sig),25.2,nan,<=(1sig),13.122878745280337,nan,<=(1sig),32.4,nan,<=(1sig),12.922878745280338,nan,,nan,nan,,nan,nan
Qu&Bregman2022,NGC 3109,150.78,-26.16,393.7,CTS M00.02,151.386,-24.2878,43.9,0.7,6.7,nan,nan,1.29,0.02,D09,8.25,0.06,Dale09+d_ref,10.88,0.03,M21,10.73,0.03,M21,8.64,0.04,BdB01+d_ref,=,-1.75,0.08,"FUV, Lee11",132.2,3.0,79.5,1.8,,nan,nan,,nan,nan,<=(1sig),22.4,nan,<=(1sig),12.122878745280337,nan,<=(1sig),18.8,nan,<=(1sig),11.922878745280338,nan,<=(1sig),10.7,nan,<=(1sig),12.122878745280337,nan,<=(1sig),22.1,nan,<=(1sig),13.022878745280337,nan,<=(1sig),24.8,nan,<=(1sig),12.822878745280338,nan,,nan,nan,,nan,nan
Qu&Bregman2022,NGC 3109,150.78,-26.16,393.7,1RXS J1015-2748,153.997,-27.808,74.4,1.2,5.3,nan,nan,1.29,0.02,D09,8.25,0.06,Dale09+d_ref,10.88,0.03,M21,10.73,0.03,M21,8.64,0.04,BdB01+d_ref,=,-1.75,0.08,"FUV, Lee11",132.2,3.1,79.5,1.8,,nan,nan,,nan,nan,<=(1sig),16.1,nan,<=(1sig),11.922878745280338,nan,<=(1sig),21.1,nan,<=(1sig),12.022878745280337,nan,<=(1sig),23.3,nan,<=(1sig),12.422878745280338,nan,<=(1sig),22.3,nan,<=(1sig),13.022878745280337,nan,<=(1sig),22.8,nan,<=(1sig),12.722878745280337,nan,,nan,nan,,nan,nan
Bordoloi+2014,124_197,47.661,-0.8621,nan,SDSSJ031027.82-004950.7,47.6158,-0.8308,101.0,nan,9.2,nan,0.026,nan,nan,,8.32,nan,Bordoloi14(Kroupa IMF),10.92,nan,M21,10.77,nan,M21,nan,nan,,=,-1.4,nan,Bordoloi+2014,136.4,nan,82.0,nan,=,360.1,17.8,=,14.1,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),21.0,nan,<=(1sig),12.74,nan,,nan,nan,,nan,nan
NewObs/Archived,UGC07639,187.4708,47.53,392.46,SDSSJ123335.07+475800.4,188.3962,47.9668,95.2,6.7,10.2,nan,nan,7.14,0.53,R05,8.32,0.09,Dale09+d_ref,10.92,0.05,M21,10.77,0.05,M21,7.62,0.06,K13_m21+d_ref,=,-2.17,0.07,"FUV, Lee11",136.3,5.2,82.0,3.2,,nan,nan,,nan,nan,<=(1sig),10.8,nan,<=(1sig),11.8,nan,,nan,nan,,nan,nan,<=(1sig),19.0,nan,<=(1sig),12.36,nan,<=(1sig),12.6,nan,<=(1sig),12.8,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Bordoloi+2014,172_157,142.2988,46.6964,nan,SDSSJ092909.79+464424.0,142.2908,46.74,52.0,nan,16.0,nan,0.017,nan,nan,,8.32,nan,Bordoloi14(Kroupa IMF),10.92,nan,M21,10.77,nan,M21,nan,nan,,=,-0.2,nan,Bordoloi+2014,136.4,nan,82.0,nan,>,845.5,15.6,>,14.57,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,173.0,22.0,=,13.73,0.05,,nan,nan,,nan,nan
Johnson+2017,D7,61.9554,-12.2044,nan,PKS0405-123,61.9518,-12.1935,72.0,nan,45.3,nan,0.0923,nan,nan,,8.33,nan,Johnson+2017(Kroupa IMF),10.92,nan,M21,10.77,nan,M21,nan,nan,,,nan,nan,,136.4,nan,82.0,nan,=,470.0,10.0,=,13.94,0.01,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),5.0,nan,<=(1sig),12.09,nan,=,80.0,10.0,=,13.81,0.05
Liang&Chen2014,SDSSJ100438.55+602758.2,151.1606,60.4662,nan,SDSSJ100102.55+594414.3,150.2606,59.7373,469.9,nan,10.8,nan,0.0074,nan,nan,,8.33,nan,Liang+2014(Kroupa IMF),10.92,nan,M21,10.77,nan,M21,nan,nan,,,-1.55,nan,Liang+2014,136.4,nan,82.0,nan,=,136.0,14.0,=,13.4,0.04,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,NGC5408,210.8396,-41.3764,502.87,PKS1355-41,209.7508,-41.8813,89.0,4.0,17.5,nan,nan,5.32,0.25,T16,8.34,0.04,K13+d_ref,10.93,0.02,M21,10.78,0.02,M21,8.48,0.04,K13_m21+d_ref,=,-1.05,0.04,"Halpha, Kennicutt08",137.4,2.1,82.7,1.3,,nan,nan,,nan,nan,<=(1sig),7.8,nan,<=(1sig),11.66,nan,<=(1sig),10.3,nan,<=(1sig),11.68,nan,<=(1sig),8.6,nan,<=(1sig),11.99,nan,<=(1sig),10.3,nan,<=(1sig),12.69,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ123757.78+571343.9,189.4907,57.2289,nan,SDSSJ124154.02+572107.3,190.4751,57.352,419.8,nan,9.1,nan,0.0104,nan,nan,,8.43,nan,Liang+2014(Kroupa IMF),10.98,nan,M21,10.83,nan,M21,nan,nan,,,-1.52,nan,Liang+2014,142.8,nan,85.9,nan,,nan,nan,,nan,nan,<=(1sig),7.0,nan,<=(1sig),11.63,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,<=(1sig),12.5,nan,<=(1sig),12.79,nan,<=(1sig),13.0,nan,<=(1sig),12.51,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ140928.10+254724.3,212.3671,25.7901,nan,PG1407+265,212.3496,26.3059,398.3,nan,7.9,nan,0.0105,nan,nan,,8.43,nan,Liang+2014(Kroupa IMF),10.98,nan,M21,10.83,nan,M21,nan,nan,,,-1.85,nan,Liang+2014,142.8,nan,85.9,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),3.5,nan,<=(1sig),12.24,nan,<=(1sig),4.0,nan,<=(1sig),12.0,nan,,nan,nan,,nan,nan
Johnson+2017,D17,37.0471,-40.9433,nan,HE0226-4110,37.0633,-40.9541,244.0,nan,28.8,nan,0.2804,nan,nan,,8.43,nan,Johnson+2017(Kroupa IMF),10.98,nan,M21,10.83,nan,M21,nan,nan,,,nan,nan,,142.8,nan,85.9,nan,=,180.0,20.0,=,13.52,0.05,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),15.0,nan,<=(1sig),12.23,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),5.0,nan,<=(1sig),12.6,nan
Liang&Chen2014,SDSSJ155106.11+361308.1,237.7755,36.2189,nan,SDSSJ155304.92+354828.6,238.2705,35.808,357.0,nan,7.2,nan,0.0084,nan,nan,,8.43,nan,Liang+2014(Kroupa IMF),10.98,nan,M21,10.83,nan,M21,nan,nan,,,-1.7,nan,Liang+2014,142.8,nan,85.9,nan,=,109.0,14.0,=,13.3,0.06,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),6.0,nan,<=(1sig),11.83,nan,<=(1sig),4.5,nan,<=(1sig),12.35,nan,<=(1sig),7.0,nan,<=(1sig),12.24,nan,,nan,nan,,nan,nan
Bordoloi+2014,87_608,150.596,59.7429,nan,SDSSJ100102.55+594414.3,150.261,59.7373,135.0,nan,10.8,nan,0.011,nan,nan,,8.52,nan,Bordoloi14(Kroupa IMF),11.02,nan,M21,10.87,nan,M21,nan,nan,,=,-1.0,nan,Bordoloi+2014,147.2,nan,88.6,nan,=,276.4,18.2,=,13.92,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ113431.78+033805.3,173.6325,3.6348,nan,SDSSJ113327.78+032719.1,173.3658,3.4553,469.6,nan,6.0,nan,0.0201,nan,nan,,8.53,nan,Liang+2014(Kroupa IMF),11.030000000000001,nan,M21,10.88,nan,M21,nan,nan,,,nan,nan,Liang+2014,148.4,nan,89.3,nan,=,176.0,20.0,=,13.51,0.05,,nan,nan,,nan,nan,<=(1sig),18.5,nan,<=(1sig),11.95,nan,<=(1sig),17.0,nan,<=(1sig),12.29,nan,<=(1sig),18.0,nan,<=(1sig),12.95,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ133302.99+314900.7,203.2625,31.8169,nan,SDSSJ133053.27+311930.5,202.722,31.3252,459.1,nan,9.0,nan,0.0092,nan,nan,,8.53,nan,Liang+2014(Kroupa IMF),11.030000000000001,nan,M21,10.88,nan,M21,nan,nan,,,-1.6,nan,Liang+2014,148.4,nan,89.3,nan,=,444.0,13.0,=,13.91,0.01,<=(1sig),5.5,nan,<=(1sig),11.52,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.01,nan,<=(1sig),11.5,nan,<=(1sig),12.76,nan,<=(1sig),19.5,nan,<=(1sig),12.68,nan,,nan,nan,,nan,nan
Johnson+2017,D8,236.9392,20.8614,nan,Q1545+210,236.9313,20.8712,79.0,nan,10.2,nan,0.0949,nan,nan,,8.53,nan,Johnson+2017(Kroupa IMF),11.030000000000001,nan,M21,10.88,nan,M21,nan,nan,,,nan,nan,,148.4,nan,89.3,nan,<=(1sig),5.0,nan,<=(1sig),11.96,nan,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),12.57,nan,<=(1sig),10.0,nan,<=(1sig),12.9,nan
NewObs/Archived,ESO269-058,197.6371,-46.9908,397.72,UVQSJ130808.98-455417.9,197.0375,-45.905,76.0,0.7,8.6,nan,nan,3.75,0.03,T16,8.62,0.01,F10+d_ref,11.08,0.01,M21,10.93,0.01,M21,7.37,0.01,K13_m21+d_ref,=,-2.6,0.01,"FUV, Lee11",154.1,1.2,92.8,0.7,,nan,nan,,nan,nan,<=(1sig),13.1,nan,<=(1sig),11.94,nan,<=(1sig),24.0,nan,<=(1sig),12.03,nan,<=(1sig),17.3,nan,<=(1sig),12.28,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ120345.06+273702.0,180.9377,27.6172,nan,PG1202+281,181.1755,27.9033,293.4,nan,6.4,nan,0.0112,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-1.51,nan,Liang+2014,154.2,nan,92.7,nan,=,181.0,23.0,=,13.52,0.06,<=(1sig),12.0,nan,<=(1sig),11.86,nan,<=(1sig),15.0,nan,<=(1sig),11.85,nan,<=(1sig),5.5,nan,<=(1sig),11.79,nan,<=(1sig),21.0,nan,<=(1sig),13.02,nan,<=(1sig),33.0,nan,<=(1sig),12.91,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ134245.88+391303.8,205.6914,39.2176,nan,SDSSJ134231.22+382903.4,205.6302,38.4844,444.3,nan,9.9,nan,0.0082,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-2.09,nan,Liang+2014,154.2,nan,92.7,nan,<=(1sig),10.5,nan,<=(1sig),12.29,nan,<=(1sig),6.5,nan,<=(1sig),11.59,nan,,nan,nan,,nan,nan,<=(1sig),8.5,nan,<=(1sig),11.98,nan,<=(1sig),13.5,nan,<=(1sig),12.83,nan,<=(1sig),13.5,nan,<=(1sig),12.53,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ105227.72-003624.2,163.1155,-0.6067,nan,PG1049-005,162.9643,-0.8549,454.9,nan,10.5,nan,0.0215,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-1.34,nan,Liang+2014,154.2,nan,92.7,nan,<=(1sig),13.0,nan,<=(1sig),12.38,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),6.0,nan,<=(1sig),11.46,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.65,nan,<=(1sig),19.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
Johnson+2017,D5,98.9346,-75.2653,nan,PKS0637-752,98.9438,-75.2713,57.0,nan,24.8,nan,0.1436,nan,nan,,8.63,nan,Johnson+2017(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,nan,nan,,154.2,nan,92.7,nan,=,1140.0,70.0,=,14.32,0.03,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),5.0,nan,<=(1sig),12.6,nan
Liang&Chen2014,SDSSJ121707.35+303836.0,184.2806,30.6433,nan,SDSSJ121037.56+315706.0,182.6565,31.9518,372.7,nan,6.0,nan,0.0026,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-2.23,nan,Liang+2014,154.2,nan,92.7,nan,=,265.0,22.0,=,13.69,0.04,,nan,nan,,nan,nan,<=(1sig),14.0,nan,<=(1sig),11.82,nan,<=(1sig),14.0,nan,<=(1sig),12.2,nan,,nan,nan,,nan,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112303.76+580124.7,170.7657,58.0236,nan,SDSSJ112244.89+575543.0,170.687,57.9286,165.4,nan,6.2,nan,0.0219,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-0.77,nan,Liang+2014,154.2,nan,92.7,nan,=,935.0,32.0,=,14.23,0.01,<=(1sig),14.0,nan,<=(1sig),11.93,nan,<=(1sig),10.0,nan,<=(1sig),11.68,nan,<=(1sig),20.0,nan,<=(1sig),12.36,nan,<=(1sig),16.5,nan,<=(1sig),12.91,nan,<=(1sig),33.0,nan,<=(1sig),12.91,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ100449.25+014148.2,151.2068,1.6966,nan,SDSSJ100535.24+013445.7,151.3968,1.5794,495.0,nan,10.5,nan,0.0308,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-1.96,nan,Liang+2014,154.2,nan,92.7,nan,=,781.0,33.0,=,14.16,0.02,<=(1sig),2.5,nan,<=(1sig),11.18,nan,,nan,nan,,nan,nan,<=(1sig),6.0,nan,<=(1sig),11.83,nan,<=(1sig),9.5,nan,<=(1sig),12.67,nan,<=(1sig),12.5,nan,<=(1sig),12.49,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ091532.45+300824.2,138.8852,30.1401,nan,SDSSJ091235.42+295725.4,138.1476,29.9571,311.5,nan,4.6,nan,0.0063,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-1.05,nan,Liang+2014,154.2,nan,92.7,nan,<=(1sig),23.5,nan,<=(1sig),12.64,nan,<=(1sig),11.5,nan,<=(1sig),11.84,nan,<=(1sig),20.5,nan,<=(1sig),11.99,nan,<=(1sig),19.0,nan,<=(1sig),12.33,nan,<=(1sig),16.5,nan,<=(1sig),12.91,nan,<=(1sig),19.5,nan,<=(1sig),12.68,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ075106.86+290430.0,117.7786,29.075,nan,FBQS0751+2919,117.8013,29.3273,442.4,nan,9.9,nan,0.0241,nan,nan,,8.63,nan,Liang+2014(Kroupa IMF),11.08,nan,M21,10.93,nan,M21,nan,nan,,,-1.08,nan,Liang+2014,154.2,nan,92.7,nan,=,32.0,3.0,=,12.77,0.04,<=(1sig),2.5,nan,<=(1sig),11.18,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,<=(1sig),4.5,nan,<=(1sig),12.35,nan,<=(1sig),6.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan
Bordoloi+2014,84_223,40.7742,-7.9815,nan,SDSSJ024250.85-075914.2,40.7119,-7.9873,126.0,nan,6.4,nan,0.029,nan,nan,,8.72,nan,Bordoloi14(Kroupa IMF),11.13,nan,M21,10.98,nan,M21,nan,nan,,=,-0.7,nan,Bordoloi+2014,160.2,nan,96.4,nan,<=(1sig),17.2,nan,<=(1sig),12.5,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),34.0,nan,<=(1sig),12.93,nan,,nan,nan,,nan,nan
NewObs/Archived,NGC4144,182.4971,46.4572,271.53,PG-1206+459,182.2417,45.6765,64.5,1.6,20.0,nan,nan,4.61,0.11,J09,8.72,0.06,Dale09+d_ref,11.13,0.03,M21,10.98,0.03,M21,8.36,0.02,K13_m21+d_ref,=,-1.67,0.03,"FUV, Lee11",160.1,3.8,96.4,2.2,,nan,nan,,nan,nan,<=(1sig),7.2,nan,<=(1sig),11.62,nan,<=(1sig),6.1,nan,<=(1sig),11.47,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ144520.23+341948.1,221.3343,34.3301,nan,SDSSJ144511.28+342825.4,221.297,34.4737,60.6,nan,5.9,nan,0.0056,nan,nan,,8.73,nan,Liang+2014(Kroupa IMF),11.13,nan,M21,10.98,nan,M21,nan,nan,,,-1.2,nan,Liang+2014,160.2,nan,96.4,nan,=,962.0,94.0,=,14.25,0.04,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),19.0,nan,<=(1sig),11.96,nan,<=(1sig),18.0,nan,<=(1sig),12.31,nan,=,84.0,19.0,=,13.62,0.1,=,266.0,28.0,=,13.82,0.05,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112152.89+411347.8,170.4704,41.23,nan,PG1121+422,171.1631,42.0292,482.6,nan,18.2,nan,0.0068,nan,nan,,8.73,nan,Liang+2014(Kroupa IMF),11.13,nan,M21,10.98,nan,M21,nan,nan,,,-1.58,nan,Liang+2014,160.2,nan,96.4,nan,<=(1sig),7.5,nan,<=(1sig),12.14,nan,<=(1sig),2.5,nan,<=(1sig),11.18,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),7.5,nan,<=(1sig),12.57,nan,<=(1sig),9.5,nan,<=(1sig),12.37,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ100618.16+285641.9,151.5757,28.945,nan,TON28,151.0109,28.9265,166.9,nan,20.3,5.0,0.0045,nan,nan,,8.73,nan,Liang+2014(Kroupa IMF),11.13,nan,M21,10.98,nan,M21,nan,nan,,,nan,nan,Liang+2014,160.2,nan,96.4,nan,=,297.0,23.0,=,13.74,0.03,<=(1sig),7.0,nan,<=(1sig),11.63,nan,<=(1sig),13.5,nan,<=(1sig),11.81,nan,<=(1sig),10.5,nan,<=(1sig),12.08,nan,<=(1sig),9.0,nan,<=(1sig),12.65,nan,<=(1sig),16.0,nan,<=(1sig),12.6,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ095545.56+413429.8,148.9398,41.575,nan,PG0953+414,149.2183,41.2562,437.6,nan,39.6,nan,0.0157,nan,nan,,8.73,nan,Liang+2014(Kroupa IMF),11.13,nan,M21,10.98,nan,M21,nan,nan,,,-0.78,nan,Liang+2014,160.2,nan,96.4,nan,,nan,nan,,nan,nan,<=(1sig),1.5,nan,<=(1sig),10.96,nan,<=(1sig),2.0,nan,<=(1sig),10.98,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),3.0,nan,<=(1sig),12.17,nan,<=(1sig),5.5,nan,<=(1sig),12.14,nan,,nan,nan,,nan,nan
Bordoloi+2014,334_153,33.058,-7.5836,nan,SDSSJ021218.32-073719.8,33.0764,-7.6222,53.0,nan,5.7,nan,0.018,nan,nan,,8.82,nan,Bordoloi14(Kroupa IMF),11.18,nan,M21,11.03,nan,M21,nan,nan,,<,-1.7,nan,Bordoloi+2014,166.5,nan,100.1,nan,=,164.2,19.4,=,13.58,0.05,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),19.0,nan,<=(1sig),12.65,nan,,nan,nan,,nan,nan
Bordoloi+2014,257_269,122.1781,46.3081,nan,SDSSJ080908.13+461925.6,122.2839,46.3238,125.0,nan,11.6,nan,0.024,nan,nan,,8.82,nan,Bordoloi14(Kroupa IMF),11.18,nan,M21,11.03,nan,M21,nan,nan,,=,-0.6,nan,Bordoloi+2014,166.5,nan,100.1,nan,=,266.7,17.9,=,13.78,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),14.0,nan,<=(1sig),12.58,nan,,nan,nan,,nan,nan
Bordoloi+2014,135_580,147.0033,9.9709,nan,SDSSJ094733.21+100508.7,146.8884,10.0858,120.0,nan,11.0,nan,0.01,nan,nan,,8.82,nan,Bordoloi14(Kroupa IMF),11.18,nan,M21,11.03,nan,M21,nan,nan,,=,-1.0,nan,Bordoloi+2014,166.5,nan,100.1,nan,=,198.0,24.8,=,13.63,0.05,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),20.0,nan,<=(1sig),12.72,nan,,nan,nan,,nan,nan
Bordoloi+2014,329_403,28.8177,-8.8543,nan,SDSSJ015530.02-085704.0,28.8752,-8.9511,105.0,nan,8.1,nan,0.013,nan,nan,,8.82,nan,Bordoloi14(Kroupa IMF),11.18,nan,M21,11.03,nan,M21,nan,nan,,=,-0.8,nan,Bordoloi+2014,166.5,nan,100.1,nan,<=(1sig),13.6,nan,<=(1sig),12.4,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),28.0,nan,<=(1sig),12.85,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ105906.61+145904.0,164.7776,14.9845,nan,SDSSJ105945.23+144142.9,164.9385,14.6953,469.4,nan,9.1,nan,0.0196,nan,nan,,8.83,nan,Liang+2014(Kroupa IMF),11.19,nan,M21,11.04,nan,M21,nan,nan,,,-1.0,nan,Liang+2014,167.8,nan,100.9,nan,=,1098.0,26.0,=,14.3,0.01,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),11.5,nan,<=(1sig),12.76,nan,<=(1sig),12.0,nan,<=(1sig),12.47,nan,,nan,nan,,nan,nan
Johnson+2017,D3,38.7821,-4.0372,nan,HB89-0232-042,38.7808,-4.0349,48.0,nan,11.8,nan,0.296,nan,nan,,8.83,nan,Johnson+2017(Kroupa IMF),11.19,nan,M21,11.04,nan,M21,nan,nan,,,nan,nan,,167.8,nan,100.9,nan,=,410.0,10.0,=,13.88,0.01,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),10.0,nan,<=(1sig),11.68,nan,<=(1sig),50.0,nan,<=(1sig),12.75,nan,,nan,nan,,nan,nan,<=(1sig),45.0,nan,<=(1sig),13.05,nan,<=(1sig),10.0,nan,<=(1sig),12.9,nan
Johnson+2017,D18,219.4546,-1.8028,nan,LBQS-1435-0134,219.4512,-1.7863,256.0,nan,12.0,nan,0.2716,nan,nan,,8.83,nan,Johnson+2017(Kroupa IMF),11.19,nan,M21,11.04,nan,M21,nan,nan,,,nan,nan,,167.8,nan,100.9,nan,=,280.0,10.0,=,13.71,0.02,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),35.0,nan,<=(1sig),12.94,nan,<=(1sig),5.0,nan,<=(1sig),12.6,nan
Bordoloi+2014,337_29,155.5759,1.5459,nan,SDSSJ102218.99+013218.8,155.5791,1.5386,39.0,nan,6.7,nan,0.074,nan,nan,,8.92,nan,Bordoloi14(Kroupa IMF),11.23,nan,M21,11.08,nan,M21,nan,nan,,=,-1.0,nan,Bordoloi+2014,173.0,nan,104.1,nan,=,437.6,35.3,=,14.16,0.04,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),45.0,nan,<=(1sig),13.01,nan,,nan,nan,,nan,nan
Bordoloi+2014,259_309,170.5278,57.9126,nan,SDSSJ112244.89+575543.0,170.6865,57.9286,65.0,nan,6.2,nan,0.011,nan,nan,,8.92,nan,Bordoloi14(Kroupa IMF),11.23,nan,M21,11.08,nan,M21,nan,nan,,=,-1.0,nan,Bordoloi+2014,173.0,nan,104.1,nan,>,681.6,27.7,>,14.53,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,149.0,39.0,=,13.74,0.08,,nan,nan,,nan,nan
